id_municipio,nome_municipio,latitude,longitude,ano,sigla_uf,bioma,data_hora,Precipitação Total < 10mm,Pressão Atmosférica entre 1015 e 1020 hPa,Temperatura Bulbo seco ACIMA DE 30°C,Temperatura Pt Orvalho abaixo de 10°C,Vento com velocidade maior que 30Km/h,Rajada max > 10 m/s,Umidade relativa do ar < 30%,Radiação Solar acima de  4 kWh/m²,Fogo
3502002,Analândia,-22163.0,-47701.0,2003,SP,Cerrado,10/17/2003 16:45,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22163.0,-47669.0,2005,SP,Cerrado,8/10/2005 16:51,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22096.0,-47781.0,2005,SP,Cerrado,8/12/2005 16:39,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22143.0,-47762.0,2008,SP,Cerrado,5/27/2008 16:24,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22154.0,-47674.0,2008,SP,Cerrado,6/11/2008 17:20,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22149.0,-47718.0,2011,SP,Cerrado,2/9/2011 16:49,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22107.0,-47604.0,2011,SP,Cerrado,9/5/2011 16:48,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22145.0,-47647.0,2012,SP,Cerrado,7/1/2012 17:13,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22151.0,-47562.0,2014,SP,Cerrado,6/25/2014 16:49,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22154.0,-47555.0,2014,SP,Cerrado,6/25/2014 16:49,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22077.0,-47619.0,2016,SP,Cerrado,8/19/2016 16:36,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22132.0,-47754.0,2020,SP,Cerrado,4/6/2020 16:45,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22158.0,-47639.0,2010,SP,Cerrado,10/22/2010 16:37,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22096.0,-47619.0,2013,SP,Cerrado,4/21/2013 16:37,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22076.0,-47.65,2013,SP,Cerrado,8/1/2013 17:38,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22112.0,-47736.0,2019,SP,Cerrado,6/5/2019 17:00,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22131.0,-47724.0,2019,SP,Cerrado,8/31/2019 17:05,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22232.0,-47715.0,2020,SP,Cerrado,11/7/2020 16:55,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22129.0,-47763.0,2020,SP,Cerrado,4/17/2020 16:30,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22133.0,-47765.0,2020,SP,Cerrado,4/6/2020 16:45,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22139.0,-47733.0,2006,SP,Cerrado,4/20/2006 16:22,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22152.0,-47665.0,2008,SP,Cerrado,6/11/2008 17:20,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22158.0,-47716.0,2011,SP,Cerrado,2/9/2011 16:49,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22141.0,-47.76,2011,SP,Cerrado,1/28/2011 16:25,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22166.0,-47682.0,2012,SP,Cerrado,5/18/2012 16:49,1,1,1,1,1,1,1,1,1
